psraid;qk9a;qk9b;qk9c;qk9d;qk9e;qk9f;qk9g;qk22a;qk22b;qk22c;qk22d;qk23a;qk23b;qk23c;qk23d;qk23e;qk25a;qk25b;qk25c;qk25d;qk26a;qk26b;qk26c;qk26d;qk26e;qk26f;qk21;qk24
111295;2;2;1;2;1;2;2;4;2;2;1;2;2;1;4;4;1;4;5;1;1;2;1;5;4;4;10;150
111318;2;4;1;1;1;2;2;1;3;3;1;1;3;4;4;3;1;3;3;1;1;3;4;4;3;3;10;124
111391;1;2;1;2;1;4;1;1;2;3;1;4;2;2;4;4;1;4;4;1;4;2;2;3;4;5;2;200
111421;1;1;5; ;4;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
111425;1;5;1;1;2;3;1;1;2;3;6;3;2;1;4;2;1;2;5;6;1;2;1;1;1;1;20;500
111464;4;4;1;2;2;3;2;1;2;4;1;1;1;5;1;1;1;3;4;3;1;1;5;1;1;1;15;500
111505;1;2;1;2;3;4;1;2;3;4;2;5;4;3;4;4;1;5;4;2;1;3;2;5;1;3;3;30
111522;2;3;1;3;2;2;2;3;3;4;6;4;3;3;3;4;1;3;4;6;2;2;3;2;4;4;1;20
111528;3;4;1;3;5;3;3;4;4;4;5;2;1;4;4;3;1;1;3;5;2;2;3;3;1;4;3;500
111538;1;4;1;1;5;5;5;1;2;3;1;1;2;3;3;3;1;2;3;1;1;1;1;1;2;2;2;10
111560;3;5;1;4;4;3;3;3;2;5;5;4;3;3;4;4;2;5;5;5;3;3;3;2;4;4;1;3
111633;3;2;1;1;3;4;2;2;4;4;6;3;4;4;4;3;1;2;5;6;1;4;4;5;2;4;1;150
111661;3;4;5;5;5;4; ;5;4;5;5;5;1;5;5;5; ; ; ; ; ; ; ; ; ; ;2; 
111720;1;1;1;1;1;2;1;1;2;2;1;2;2;2;2;3;1;2;5;1;1;2;2;1;2;2;8;70
111733;1;1;1; ;2;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
200006;1;2;3;2;5;4;3;1;1;1;3;3;3;4;1;4;1;1;1;1;2;4;4;4;4;5;10;25
200026;2;3;2;1;5;5;1;2;2;6;5;4;3;4;4;4;2;5;6;5;5;4;4;4;5;4;2;3
200027;2;2;1;2; ; ; ;3;3;4;4;4;4;3;3;4;2;4;5;4;4;4;4;4;3;4;1;10
200029;5;5;1;4;5;5;2;5;1;4;5;4;2;2;5;5;1;5;4;5;1;2;2;5;1;4;2;100
200061;2;1;3; ;2;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
200063;1;1;1;1;2;3;1;1;1;3;1;4;3;2;5;3;1;3;4;1;2;3;2;3;3;2;15;500
200071;4;4;1;4;4;4;3;4;5;5;2;4;5;5;5;5;1;4;5;1;5;5;5;5;4;4;0;50
200085;1;1;1; ;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
200120;3;3;3;2;3;3;3;3;2;2;2;3;2;1;1;2;3;3;3;3;3;3;3;3;3;3;5;5
200154;4;3;5; ;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
200155;4;1;4;1;4;1;3;1;1;4;6;2;2;1;5;3;3;4;3;6;4;1;2;5;3;4;10;20
200178;1;2;5; ;5;4;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
200271;3;3;5;3;5;3; ;4;3;5;6;4;5;4;4;4; ; ; ; ; ; ; ; ; ; ;1; 
200278;2;5;1;1;5;3;3;1;1;3;4;4;3;3;2;4;1;1;3;4;3;2;2;1;4;4;10;50
200358;1;1;1; ;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
200379;2;5;5;1;2;1;2;1;2;3;1;1;2;3;1;1; ; ; ; ; ; ; ; ; ; ;30; 
200414;3;2;1;2;3;5;1;2;1;2;1;1;2;2;2;1;1;2;2;1;1;1;2;2;1;1;6;50
200436;1;3;1;1;4;4;1;1;2;4;2;4;1;1;1;3;4;4;4;1;2;2;2;4;3;3;3;25
200472;1;5;1;1;5;5;1;1;1;1;1;3;3;4;5;3;1;1;1;1;5;1;1;5;5;3;20;50
200527;1;1;1;1;2;4;3;1;2;4;2;2;2;2;2;1;1;5;5;1;1;1;2;2;1;2;10;200
200572;4;4;4; ;5;5;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
