own_EBR;own_smartphone;own_iPad;bought_ebook;ebook_UB;emag_UB;type_1;type_2;type_3;type_4;type_5;type_6;type_7;type_8;interest_1;interest_2;interest_3;interest_4;interest_5;interest_6;interest_7;interest_8;interest_9;interest_10;reason_1;reason_2;reason_3;reason_4;reason_5;reason_6;reason_7;reason_8;newsletter;blogs;social_media;sex;age;faculty
no;no;no;no;yes;no;2;2;4;5;5;2;2;4;3;2;3;4;2;2;4;4;4;2;1;2;2;1;1;1;1;1;1;5;5;0;22;4
no;maybe;no;no;yes;maybe;1;2;2;4;3;2;1;2;2;3;4;2;2;1;3;3;3;3;1;3;3;2;2;1;3;5;6;4;2;1;24;7
no;no;no;no;no;no;2;5;2;5;4;2;1;2;1;1;4;2;3;3;2;3;2;3;1;1;1;1;1;1;1;1;11;3;1;1;38;3
no;no;no;no;yes;yes;1;1;2;5;3;1;2;4;1;4;4;2;2;2;2;3;3;3;1;2;2;1;2;2;3;2;2;3;1;1;24;7
maybe;maybe;maybe;maybe;maybe;maybe;1;2;2;5;5;1;1;4;2;4;4;3;2;1;4;4;4;3;2;1;1;3;2;3;4;4;7;5;5;1;24;3
maybe;maybe;maybe;maybe;yes;yes;2;4;2;5;5;1;1;2;2;1;3;2;1;3;3;4;4;2;1;3;2;2;2;2;4;1;1;4;5;0;25;6
no;maybe;no;no;yes;maybe;2;2;1;4;5;2;2;2;3;1;3;2;3;2;2;1;1;1;1;2;1;1;2;2;3;4;4;5;2;1;21;7
no;no;no;no;maybe;yes;1;1;2;3;4;1;2;2;3;4;4;1;1;2;4;4;2;2;1;1;2;1;1;1;1;3;6;3;1;1;27;3
maybe;maybe;maybe;maybe;maybe;maybe;5;4;4;5;5;2;2;3;2;1;3;2;2;1;2;2;2;2;1;1;3;3;2;2;2;1;8;4;2;1;21;4
no;maybe;no;maybe;maybe;maybe;2;5;4;5;5;4;4;3;1;3;4;3;4;4;2;1;1;1;1;4;5;1;1;2;4;1;5;5;1;1;22;3
maybe;no;no;maybe;yes;yes;1;5;4;5;5;1;5;5;1;4;4;3;2;2;4;3;3;3;1;1;1;3;1;1;1;1;1;5;5;1;41;3
